[2019-07-25 3337.801][0x000007cc][ERROR]<[133] - NPQosImpl::SetParam> m_struOuterPram.m_enQosConfig=8  bAudio=0
[2019-07-25 3337.801][0x000007cc][DEBUG]<[52] - Sender::Start> m_bVideo Start()
[2019-07-25 3338.815][0x000007cc][DEBUG]<[138] - SenderBase::GetStat> memroy used =48796
[2019-07-25 3338.815][0x000007cc][DEBUG]<[140] - SenderBase::GetStat> [key]RealRttUsS = 0
[2019-07-25 3338.815][0x000007cc][DEBUG]<[141] - SenderBase::GetStat> [key]filterRttUsS = 50000
[2019-07-25 3338.815][0x000007cc][DEBUG]<[146] - SenderBase::GetStat> [BW]Videobps = 170688
[2019-07-25 3338.815][0x000007cc][DEBUG]<[147] - SenderBase::GetStat> [BW]Nackbp = 0
[2019-07-25 3338.815][0x000007cc][DEBUG]<[148] - SenderBase::GetStat> [BW]Fecbps = 0
[2019-07-25 3338.815][0x000007cc][DEBUG]<[149] - SenderBase::GetStat> [BW]Padding = 0
[2019-07-25 3338.815][0x000007cc][DEBUG]<[150] - SenderBase::GetStat> [BW]Total = 170688
[2019-07-25 3339.829][0x000007cc][DEBUG]<[138] - SenderBase::GetStat> memroy used =48796
[2019-07-25 3339.829][0x000007cc][DEBUG]<[140] - SenderBase::GetStat> [key]RealRttUsS = 3000
[2019-07-25 3339.829][0x000007cc][DEBUG]<[141] - SenderBase::GetStat> [key]filterRttUsS = 3000
[2019-07-25 3339.829][0x000007cc][DEBUG]<[146] - SenderBase::GetStat> [BW]Videobps = 178816
[2019-07-25 3339.829][0x000007cc][DEBUG]<[147] - SenderBase::GetStat> [BW]Nackbp = 0
[2019-07-25 3339.829][0x000007cc][DEBUG]<[148] - SenderBase::GetStat> [BW]Fecbps = 0
[2019-07-25 3339.829][0x000007cc][DEBUG]<[149] - SenderBase::GetStat> [BW]Padding = 0
[2019-07-25 3339.829][0x000007cc][DEBUG]<[150] - SenderBase::GetStat> [BW]Total = 178816
[2019-07-25 3340.843][0x000007cc][DEBUG]<[138] - SenderBase::GetStat> memroy used =48796
[2019-07-25 3340.843][0x000007cc][DEBUG]<[140] - SenderBase::GetStat> [key]RealRttUsS = 1000
[2019-07-25 3340.843][0x000007cc][DEBUG]<[141] - SenderBase::GetStat> [key]filterRttUsS = 3000
[2019-07-25 3340.843][0x000007cc][DEBUG]<[146] - SenderBase::GetStat> [BW]Videobps = 178816
[2019-07-25 3340.843][0x000007cc][DEBUG]<[147] - SenderBase::GetStat> [BW]Nackbp = 0
[2019-07-25 3340.843][0x000007cc][DEBUG]<[148] - SenderBase::GetStat> [BW]Fecbps = 0
[2019-07-25 3340.843][0x000007cc][DEBUG]<[149] - SenderBase::GetStat> [BW]Padding = 0
[2019-07-25 3340.843][0x000007cc][DEBUG]<[150] - SenderBase::GetStat> [BW]Total = 178816
[2019-07-25 3341.264][0x00001ec8][0WARN]<[146] - RtcpCallback::CalculateRTT> !!!! rttMs=-1, 5949264,5948843,422
[2019-07-25 3341.857][0x000007cc][DEBUG]<[138] - SenderBase::GetStat> memroy used =48796
[2019-07-25 3341.857][0x000007cc][DEBUG]<[140] - SenderBase::GetStat> [key]RealRttUsS = 1000
[2019-07-25 3341.857][0x000007cc][DEBUG]<[141] - SenderBase::GetStat> [key]filterRttUsS = 3000
[2019-07-25 3341.857][0x000007cc][DEBUG]<[146] - SenderBase::GetStat> [BW]Videobps = 170688
[2019-07-25 3341.857][0x000007cc][DEBUG]<[147] - SenderBase::GetStat> [BW]Nackbp = 0
[2019-07-25 3341.857][0x000007cc][DEBUG]<[148] - SenderBase::GetStat> [BW]Fecbps = 0
[2019-07-25 3341.857][0x000007cc][DEBUG]<[149] - SenderBase::GetStat> [BW]Padding = 0
[2019-07-25 3341.857][0x000007cc][DEBUG]<[150] - SenderBase::GetStat> [BW]Total = 170688
[2019-07-25 3342.263][0x00001ec8][0WARN]<[146] - RtcpCallback::CalculateRTT> !!!! rttMs=-3, 5950263,5949857,409
[2019-07-25 3342.871][0x000007cc][DEBUG]<[138] - SenderBase::GetStat> memroy used =48796
[2019-07-25 3342.871][0x000007cc][DEBUG]<[140] - SenderBase::GetStat> [key]RealRttUsS = 1000
[2019-07-25 3342.871][0x000007cc][DEBUG]<[141] - SenderBase::GetStat> [key]filterRttUsS = 3000
[2019-07-25 3342.871][0x000007cc][DEBUG]<[146] - SenderBase::GetStat> [BW]Videobps = 178816
[2019-07-25 3342.871][0x000007cc][DEBUG]<[147] - SenderBase::GetStat> [BW]Nackbp = 0
[2019-07-25 3342.871][0x000007cc][DEBUG]<[148] - SenderBase::GetStat> [BW]Fecbps = 0
[2019-07-25 3342.871][0x000007cc][DEBUG]<[149] - SenderBase::GetStat> [BW]Padding = 0
[2019-07-25 3342.871][0x000007cc][DEBUG]<[150] - SenderBase::GetStat> [BW]Total = 178816
[2019-07-25 3343.261][0x00001ec8][0WARN]<[146] - RtcpCallback::CalculateRTT> !!!! rttMs=-5, 5951261,5950871,395
[2019-07-25 3343.885][0x000007cc][DEBUG]<[138] - SenderBase::GetStat> memroy used =48796
[2019-07-25 3343.885][0x000007cc][DEBUG]<[140] - SenderBase::GetStat> [key]RealRttUsS = 1000
[2019-07-25 3343.885][0x000007cc][DEBUG]<[141] - SenderBase::GetStat> [key]filterRttUsS = 3000
[2019-07-25 3343.885][0x000007cc][DEBUG]<[146] - SenderBase::GetStat> [BW]Videobps = 178816
[2019-07-25 3343.885][0x000007cc][DEBUG]<[147] - SenderBase::GetStat> [BW]Nackbp = 0
[2019-07-25 3343.885][0x000007cc][DEBUG]<[148] - SenderBase::GetStat> [BW]Fecbps = 0
[2019-07-25 3343.885][0x000007cc][DEBUG]<[149] - SenderBase::GetStat> [BW]Padding = 0
[2019-07-25 3343.885][0x000007cc][DEBUG]<[150] - SenderBase::GetStat> [BW]Total = 178816
[2019-07-25 3344.259][0x00001ec8][0WARN]<[146] - RtcpCallback::CalculateRTT> !!!! rttMs=-7, 5952259,5951885,381
[2019-07-25 3344.899][0x000007cc][DEBUG]<[138] - SenderBase::GetStat> memroy used =48796
[2019-07-25 3344.899][0x000007cc][DEBUG]<[140] - SenderBase::GetStat> [key]RealRttUsS = 1000
[2019-07-25 3344.899][0x000007cc][DEBUG]<[141] - SenderBase::GetStat> [key]filterRttUsS = 3000
[2019-07-25 3344.899][0x000007cc][DEBUG]<[146] - SenderBase::GetStat> [BW]Videobps = 170688
[2019-07-25 3344.899][0x000007cc][DEBUG]<[147] - SenderBase::GetStat> [BW]Nackbp = 0
[2019-07-25 3344.899][0x000007cc][DEBUG]<[148] - SenderBase::GetStat> [BW]Fecbps = 0
[2019-07-25 3344.899][0x000007cc][DEBUG]<[149] - SenderBase::GetStat> [BW]Padding = 0
[2019-07-25 3344.899][0x000007cc][DEBUG]<[150] - SenderBase::GetStat> [BW]Total = 170688
[2019-07-25 3345.913][0x000007cc][DEBUG]<[138] - SenderBase::GetStat> memroy used =48796
[2019-07-25 3345.913][0x000007cc][DEBUG]<[140] - SenderBase::GetStat> [key]RealRttUsS = 7000
[2019-07-25 3345.913][0x000007cc][DEBUG]<[141] - SenderBase::GetStat> [key]filterRttUsS = 7000
[2019-07-25 3345.913][0x000007cc][DEBUG]<[146] - SenderBase::GetStat> [BW]Videobps = 178816
[2019-07-25 3345.913][0x000007cc][DEBUG]<[147] - SenderBase::GetStat> [BW]Nackbp = 0
[2019-07-25 3345.913][0x000007cc][DEBUG]<[148] - SenderBase::GetStat> [BW]Fecbps = 0
[2019-07-25 3345.913][0x000007cc][DEBUG]<[149] - SenderBase::GetStat> [BW]Padding = 0
[2019-07-25 3345.913][0x000007cc][DEBUG]<[150] - SenderBase::GetStat> [BW]Total = 178816
[2019-07-25 3346.927][0x000007cc][DEBUG]<[138] - SenderBase::GetStat> memroy used =48796
[2019-07-25 3346.927][0x000007cc][DEBUG]<[140] - SenderBase::GetStat> [key]RealRttUsS = 4000
[2019-07-25 3346.927][0x000007cc][DEBUG]<[141] - SenderBase::GetStat> [key]filterRttUsS = 7000
[2019-07-25 3346.927][0x000007cc][DEBUG]<[146] - SenderBase::GetStat> [BW]Videobps = 178816
